20x20
2,3
2,4
2,5
2,6
2,7
2,8
2,11
2,12
2,13
2,14
2,15
2,16
4,3
4,4
4,5
4,6
4,7
4,8
4,11
4,12
4,13
4,14
4,15
4,16
6,3
6,4
6,5
6,6
6,7
6,8
6,11
6,12
6,13
6,14
6,15
6,16
8,3
8,4
8,5
8,6
8,7
8,8
8,11
8,12
8,13
8,14
8,15
8,16
9,3
9,16
10,3
10,5
10,6
10,13
10,14
10,16
11,3
11,5
11,6
11,13
11,14
11,16
12,3
12,16
13,3
13,4
13,5
13,6
13,7
13,8
13,11
13,12
13,13
13,14
13,15
13,16
15,3
15,4
15,5
15,6
15,7
15,8
15,11
15,12
15,13
15,14
15,15
15,16
17,3
17,4
17,5
17,6
17,7
17,8
17,11
17,12
17,13
17,14
17,15
17,16
19,3
19,4
19,5
19,6
19,7
19,8
19,11
19,12
19,13
19,14
19,15
19,16
2,6,2,2
3,4,1,1
1,8,3,3
4,10,4,4
